test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,rmse,mae,pearson_r,r2,n_test_samples
A01T,5,"Fz,C3,C4,Pz,POz",17,transformer_encoder,4.066404819488525,3.1472084522247314,0.9153050184249878,0.8369402168654627,20000
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,transformer_encoder,3.8585026264190674,2.9865970611572266,0.9236865043640137,0.8523248379476176,20000
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,transformer_encoder,4.82583475112915,3.747474193572998,0.8679415583610535,0.7510461222275145,20000
A02T,5,"Fz,C3,C4,Pz,POz",17,transformer_encoder,3.390141725540161,2.5827300548553467,0.9247833490371704,0.8523008451981037,20000
A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,transformer_encoder,3.307189464569092,2.5027952194213867,0.9282509684562683,0.8599392130964975,20000
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,transformer_encoder,4.023963928222656,3.067835569381714,0.8825808763504028,0.7764751680488817,20000
A03T,5,"Fz,C3,C4,Pz,POz",17,transformer_encoder,4.389249324798584,3.3594110012054443,0.9324356317520142,0.8637398697415767,20000
A03T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,transformer_encoder,4.120649814605713,3.123953342437744,0.9384910464286804,0.880443869708218,20000
A03T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,transformer_encoder,5.1818084716796875,3.947202682495117,0.9041476249694824,0.8142519072095465,20000
A04T,5,"Fz,C3,C4,Pz,POz",17,transformer_encoder,3.800112724304199,2.9309756755828857,0.8949302434921265,0.8006572892592423,20000
A04T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,transformer_encoder,3.670236110687256,2.8151280879974365,0.9037485122680664,0.8163858638518061,20000
A04T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,transformer_encoder,4.764128684997559,3.6310887336730957,0.8376964926719666,0.7006337193527234,20000
A05T,5,"Fz,C3,C4,Pz,POz",17,transformer_encoder,3.0613784790039062,2.332934617996216,0.9362267851829529,0.8747858210005053,20000
A05T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,transformer_encoder,2.9711356163024902,2.263949394226074,0.9389656782150269,0.8809616516986255,20000
A05T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,transformer_encoder,3.8694446086883545,2.9269914627075195,0.8908875584602356,0.7836288573959584,20000
A06T,5,"Fz,C3,C4,Pz,POz",17,transformer_encoder,5.673733711242676,4.366579532623291,0.8915603160858154,0.7931666192843918,20000
A06T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,transformer_encoder,5.421069145202637,4.162313461303711,0.9006342887878418,0.8104645027717993,20000
A06T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,transformer_encoder,6.493344306945801,5.043959617614746,0.8462196588516235,0.7153498872855779,20000
A07T,5,"Fz,C3,C4,Pz,POz",17,transformer_encoder,3.8272705078125,2.9739582538604736,0.8955610394477844,0.7977787463201548,20000
A07T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,transformer_encoder,3.618844985961914,2.8057243824005127,0.9060739278793335,0.8205649585724526,20000
A07T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,transformer_encoder,4.629876136779785,3.545323133468628,0.8400542736053467,0.7042715875679196,20000
A08T,5,"Fz,C3,C4,Pz,POz",17,transformer_encoder,5.462951183319092,4.182626724243164,0.9048658609390259,0.818581734637321,20000
A08T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,transformer_encoder,5.006319999694824,3.821115732192993,0.9204510450363159,0.8468387745590513,20000
A08T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,transformer_encoder,6.197986602783203,4.731273174285889,0.872694194316864,0.7589452082129502,20000
A09T,5,"Fz,C3,C4,Pz,POz",17,transformer_encoder,7.166013717651367,5.479944229125977,0.848914623260498,0.7185080620769543,20000
A09T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,transformer_encoder,6.612912654876709,5.030277729034424,0.8709747791290283,0.7584702232973093,20000
A09T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,transformer_encoder,8.403031349182129,6.3749003410339355,0.8052752017974854,0.6417661658981993,20000
